BAIRRO,TIPO,OCORRENCIA
JAQUEIRA,AUTOMÓVEL,COLISÃO
JORDÃO,AUTOMÓVEL,COLISÃO
DOISUNIDOS,AUTOMÓVEL,ATROPELAMENTO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,COLISÃO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
CAMPOGRANDE,AUTOMÓVEL,ATROPELAMENTO
IPSEP,AUTOMÓVEL,COLISÃO
TAMARINEIRA,AUTOMÓVEL,COLISÃO
CASAFORTE,AUTOMÓVEL,COLISÃO
CORDEIRO,AUTOMÓVEL,COLISÃO
BARRO,AUTOMÓVEL,COLISÃO
MADALENA,AUTOMÓVEL,COLISÃO
AFOGADOS,AUTOMÓVEL,ATROPELAMENTO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
AREIAS,AUTOMÓVEL,COLISÃO
ARRUDA,AUTOMÓVEL,COLISÃO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
AFOGADOS,AUTOMÓVEL,COLISÃO
BOAVIAGEM,AUTOMÓVEL,COLISÃO
BOAVISTA,AUTOMÓVEL,COLISÃO
SANTOANTÔNIO,AUTOMÓVEL,COLISÃO
PRADO,AUTOMÓVEL,COLISÃO
BOAVIAGEM,AUTOMÓVEL,ATROPELAMENTO
PASSARINHO,AUTOMÓVEL,ATROPELAMENTO
BOAVIAGEM,AUTOMÓVEL,ATROPELAMENTO
IBURA,CICLISTA,COLISÃO
CASA AMARELA,CICLISTA,ATROPELAMENTO
TORREÃO,CICLISTA,COLISÃO
BRASÍLIA TEIMOSA,CICLISTA,ATROPELAMENTO
IMBIRIBEIRA,CICLISTA,COLISÃO
SAN MARTIN,CICLISTA,COLISÃO
BOA VISTA,CICLOMOTOR,COLISÃO
CAMPO GRANDE,CICLOMOTOR,COLISÃO
SANTO ANTÔNIO,CICLOMOTOR,COLISÃO
SÃO JOSÉ,CICLOMOTOR,COLISÃO
PAISSANDU,MOTOCICLETA,ATROPELAMENTO
CABANGA,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
JARDIM SÃO PAULO,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
ESPINHEIRO,MOTOCICLETA,COLISÃO
ILHA DO RETIRO,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
BAIRRO DO RECIFE,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
ESPINHEIRO,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
VÁRZEA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
SAN MARTIN,MOTOCICLETA,COLISÃO
PARNAMIRIM,MOTOCICLETA,COLISÃO
AREIAS,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
AREIAS,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
TAMARINEIRA,MOTOCICLETA,COLISÃO
ILHA DO RETIRO,MOTOCICLETA,ATROPELAMENTO
MADALENA,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
PINA,MOTOCICLETA,COLISÃO
ROSARINHO,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,ATROPELAMENTO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
ROSARINHO,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
APIPUCOS,MOTOCICLETA,COLISÃO
ILHA DO LEITE,MOTOCICLETA,COLISÃO
